upstream	fork_url	pinned_rev	consumer	verified
leanprover-community/plausible	https://github.com/V-Sekai-fire/plausible	a456461b368b71d2accd95234832cd9c174b5437 (tag v4.30.0)	cloth-dynamics-standalone lean/lake-manifest.json (inputRev v4.30.0)	yes: tag v4.30.0 in fork resolves to this rev; also reachable from main
fire/plausible-witness-dag	https://github.com/V-Sekai-fire/plausible-witness-dag	160b94c9c6eed3bb9ebffce919fc6f989dcafba8	cloth-dynamics-standalone lean/lake-manifest.json (url fire/plausible-witness-dag, inputRev main)	yes: reachable from default branch, which is named "main/main" (no branch named "main" exists in the fork)
nlohmann/json	https://github.com/V-Sekai-fire/json	bc889afb4c5bf1c0d8ee29ef35eaaf4c8bef8a5d (tag v3.11.2)	cloth-fit via polysolve cmake/recipes/json.cmake: release include.zip v3.11.2, URL_HASH SHA256=e5c7a9f49a16814be27e4ed0ee900ecd0092bfb7dbfca65b5a421b774dccaaed; this is .cpm-cache/nlohmann_json/3cc46c5b (headers say 3.11.2)	yes: tag v3.11.2 in fork resolves to this rev (consumer downloads a release asset, not a git rev)
nlohmann/json	https://github.com/V-Sekai-fire/json	55f93686c01528224f448c19128836e7df245f72 (tag v3.12.0)	skin-tokens-ggml: find_package(nlohmann_json 3.11) with no CPM pin; flake.nix supplies nixpkgs 4bd9165a9165d7b5e33ae57f3eecbcb28fb231c9, which packages 3.12.0	yes: tag v3.12.0 in fork resolves to this rev
Huangzizhou/polysolve	https://github.com/V-Sekai-fire/polysolve	ee553dc6a330ef70bcc6ba2f05653fecd201c05f	cloth-fit cmake/recipes/polysolve.cmake (gh:Huangzizhou/polysolve#ee553dc6); same rev checked out in .cpm-cache/polysolve/2ae62319	yes: tip of non-default branch garment, which was copied into the fork
libigl/libigl	https://github.com/V-Sekai-fire/libigl	fdaac01bcc52888994f7afd029dcc045dd408484 (tag v2.5.0)	cloth-fit cmake/recipes/libigl.cmake (gh:libigl/libigl@2.5.0); ipc-toolkit's own recipe pins the same; same rev checked out in .cpm-cache/libigl/10088ec1	yes: tag v2.5.0 in fork resolves to this rev
ipc-sim/ipc-toolkit	https://github.com/V-Sekai-fire/ipc-toolkit	993e7e0fadb7073e1331ffa88ae288758d704d2e	cloth-fit cmake/recipes/ipc_toolkit.cmake (gh:Huangzizhou/ipc-toolkit#993e7e0f, NOT ipc-sim); same rev checked out in .cpm-cache/ipc-toolkit/4285d630	yes: branch polyfem (tip 66c8924e, carried from Huangzizhou/ipc-toolkit 2026-09-23) contains it. Before that, no branch or tag in the fork contained it. It is an ancestor of Huangzizhou/ipc-toolkit branch polyfem (tip 66c8924e), which ipc-sim lacks. The API and a fetch by SHA resolve it only through the shared fork-network store. vs ipc-sim main: 3 ahead, 230 behind
Huangzizhou/openvdb	https://github.com/V-Sekai-fire/openvdb	c96cb06971a89ad2638ed29972ab54f63a8e2fbc	cloth-fit cmake/recipes/openvdb.cmake (gh:Huangzizhou/openvdb#c96cb069)	yes: tip of default branch sample
JeffreyXiang/CuMesh	https://github.com/V-Sekai-fire/CuMesh	33ff5600b57c4872d0167763b1340d97a6a441c4	tools/wheels/build.sh: the cumesh wheel (cp311, torch 2.8.0 + cu128) for tools/services/pixal3d; the upstream base of the Windows cumesh 1.0 wheel the desk runs (gates/7-pixal3d/own-wheels)	yes: on fork main (forked 2026-09-23, main == upstream main 12289e1); release wheels-cp311-torch2.8.0-cu128 tags this rev
JeffreyXiang/cubvh	https://github.com/V-Sekai-fire/cubvh	ff89002e3c7fdcac63cf71ddb638e7934ca3fc6e	CuMesh @33ff560 gitlink third_party/cubvh (.gitmodules: JeffreyXiang/cubvh, branch trellis.2); build.sh maps the URL to the fork	yes: ancestor of fork branch trellis.2 (tip ce92267); forked 2026-09-23 with all branches
